RT;leg;div;strate;hum;phos;ary;glu;ure;NH4
17;Leg+;Div2;3;9.090909091;23.31902975;2.654186943;7.038100487;3.298186216;0.32903041
17;Leg+;Div2;4;11.11111111;26.72378873;3.168542967;8.651356391;2.964802543;0.353278964
18;Leg+;Div3;1;4.615384615;32.01604922;2.483717786;8.596855872;3.715091795;0.417526904
18;Leg+;Div3;2;2.941176471;29.49082089;2.671973155;8.293376382;3.341470991;0.410527264
18;Leg+;Div3;3;3.947368421;27.54365572;2.807492966;7.966559156;3.131543016;0.412280691
18;Leg+;Div3;4;12.85714286;29.78905674;3.041299265;8.651514946;3.462231304;0.457838414
19;Leg+;Div0;1;2.739726027;27.6599515;2.136185074;7.81332978;3.544527602;0.413538272
19;Leg+;Div0;2;5.660377358;25.82579761;2.448407453;7.558868853;3.27244807;0.417046142
19;Leg+;Div0;3;5.084745763;25.34472316;2.736687378;8.338966482;3.355048801;0.40383985
19;Leg+;Div0;4;8.196721311;29.11830182;3.023764597;8.837682021;3.558483741;0.422995471
20;Leg+;Div1;1;3.333333333;34.03211052;2.699936467;9.065361059;3.781472148;0.384605276
20;Leg+;Div1;2;5.084745763;32.09842816;2.86976267;9.268570004;3.737222349;0.394272018
20;Leg+;Div1;3;3.846153846;31.95811681;2.826832181;9.026985471;3.469101601;0.392014765
20;Leg+;Div1;4;8.333333333;32.390858;3.071008043;8.939325946;3.639729513;0.41299456
21;Leg-;Div2;1;6.95652173913041;19.53;2.17;7.39;2.58;0.331242097697133
21;Leg-;Div2;2;5.96026490066224;17.56;2.11;6.51;2.2;0.317844198071499
21;Leg-;Div2;3;7.33333333333334;16.28;2.29;6.55;2.18;0.322014580632564
21;Leg-;Div2;4;10.7382550335571;15.02;2.46;7.13;2.68;0.338425157251701
22;Leg-;Div3;1;7.69230769230769;15.98;2.09;7.18;2.67;0.3473147254495
22;Leg-;Div3;2;6.02409638554217;15.04;1.98;6.69;2.47;0.335172722541775
22;Leg-;Div3;3;8.08823529411765;14.31;2.1;6.77;2.41;0.336968428337019
22;Leg-;Div3;4;15.2173913043478;15;2.8;8.1;2.11;0.39777883651858
23;Leg-;Div0;1;10.2189781021898;17.68;2.1;6.97;2.47;0.325360547271325
23;Leg-;Div0;2;7.80141843971632;17.44;2.06;6.77;2.59;0.311817110895819
23;Leg-;Div0;3;8.97435897435896;17.15;2.05;7.22;2.26;0.31719303084568
23;Leg-;Div0;4;9.63855421686748;14.3;2.29;6.75;2.05;0.314573751559944
24;Leg-;Div1;1;7.31707317073172;17.37;1.84;6.91;2.63;0.299581172537087
24;Leg-;Div1;2;5.79710144927534;15.83;1.89;6.4;2.17;0.277671813315993
24;Leg-;Div1;3;12.5874125874126;17.02;2.23;6.71;2.31;0.287739451526168
24;Leg-;Div1;4;11.2781954887218;15.2;2.46;6.8;1.94;0.293268233910042
25;Leg-;Div2;1;8.33333333333334;24.97;1.79;7.89;3.09;1.06560783121254
25;Leg-;Div2;2;5.71428571428569;18.43;2.11;6.39;2.36;0.347271273835789
25;Leg-;Div2;3;7.28476821192053;17.46;2.2;6.6;2.71;0.341604784324212
25;Leg-;Div2;4;14.8760330578512;15;2.51;7.13;2.35;0.426901486913338
26;Leg-;Div3;1;8.77192982456141;19.38;1.93;6.96;1.9;0.258458192858617
26;Leg-;Div3;2;5.60000000000002;16.93;2.01;6.03;1.4;0.283337139065327
26;Leg-;Div3;3;10.7692307692308;15.71;2.03;6.14;1.51;0.304288188697463
26;Leg-;Div3;4;14.5985401459854;15.61;2.43;6.67;2.08;0.307341022106628
27;Leg-;Div0;1;11.7647058823529;17.06;2.18;7.61;2.07;0.335753063479426
27;Leg-;Div0;2;6.30630630630633;13.46;1.98;5.82;1.61;0.282721835942424
27;Leg-;Div0;3;6.56934306569342;13.7;2.11;5.93;1.48;0.266497827324788
27;Leg-;Div0;4;9.59999999999996;14.48;2.47;6.96;1.11;0.307155917723631
28;Leg-;Div1;1;7.75862068965516;20.26;2.23;7.58;2.19;0.29280097022496
28;Leg-;Div1;2;5.4794520547945;18.38;2.14;6.55;1.86;0.286854875909937
28;Leg-;Div1;3;7.46268656716418;15.91;2.06;6.31;1.35;0.307155194031838
28;Leg-;Div1;4;15.5038759689922;16.42;2.42;6.95;1.8;0.311311050767889
29;Leg-;Div2;1;8.18181818181817;16.85;1.84;6.43;2.35;0.297098510084067
29;Leg-;Div2;2;7.82608695652176;16.03;2.08;6.28;1.27;0.288268071625
29;Leg-;Div2;3;8.33333333333334;13.87;2.13;6.08;1.52;0.269359455010159
29;Leg-;Div2;4;15.748031496063;15.4;2.64;7.15;1.07;0.310792379788991
30;Leg-;Div3;1;5.21739130434784;22.09;1.71;6.06;1.47;1.0723272946774
30;Leg-;Div3;2;5.22388059701495;16.14;1.88;5.65;1.15;0.32756438195412
30;Leg-;Div3;3;5.9259259259259;17.39;2;6.17;1.45;0.292555364507661
30;Leg-;Div3;4;12.5;17.46;2.13;6.75;1.55;0.346204114279959
31;Leg+;Div2;1;6.55737704918036;17.14;1.57;6.01;1.22;0.610955004641726
31;Leg+;Div2;2;6.39999999999997;15.04;1.76;5.96;2.39;0.287958513596815
31;Leg+;Div2;3;4.83870967741936;15.05;1.9;5.73;1.4;0.286240071693488
31;Leg+;Div2;4;9.83606557377051;15.98;2.35;6.59;1.51;0.309666832059745
32;Leg+;Div3;1;7.77777777777777;16.77;2;6.43;1.11;0.308209752799628
32;Leg+;Div3;2;5.59999999999997;17.26;1.86;6.17;1.44;0.272144891268875
32;Leg+;Div3;3;6.29921259842523;16.66;1.97;6;0.87;0.292974521796748
32;Leg+;Div3;4;13.0841121495327;15.99;2.41;6.92;1.6;0.310167258735874
33;Leg+;Div0;1;6.03448275862069;15.44;1.89;6.06;1.38;0.302717263877913
33;Leg+;Div0;2;5.55555555555553;14.69;1.84;6.09;1.17;0.283025511575281
33;Leg+;Div0;3;6.87022900763358;14.24;1.92;6.03;1.2;0.277857920101763
33;Leg+;Div0;4;13.28125;16.8;2.64;7.35;1.26;0.327306829667625
34;Leg+;Div1;1;7.01754385964913;17.24;1.93;6.47;1.25;0.293875999612342
34;Leg+;Div1;2;5.94059405940592;17.45;1.9;6.3;1.44;0.296781877003566
34;Leg+;Div1;3;5.14705882352943;16.37;1.97;6.06;1.05;0.353804013219947
34;Leg+;Div1;4;12.3076923076923;15.48;2.2;6.17;1.39;0.326524694883171
35;Leg+;Div2;1;7.46268656716418;15.27;1.85;6.55;2.29;0.393276001996237
35;Leg+;Div2;2;6.42857142857142;13.48;1.9;6.12;2.08;0.3691269064724
35;Leg+;Div2;3;6.52173913043478;16.13;1.92;7.21;2.62;0.361121509682757
35;Leg+;Div2;4;16;16.73;2.46;7.82;2.22;0.44349813756031
36;Leg+;Div3;1;10.3703703703704;19.95;2.26;7.7;2.57;0.374121362121292
36;Leg+;Div3;2;6.16438356164383;18.6;2.1;7.14;2.46;0.33701017839443
36;Leg+;Div3;3;10.3896103896104;16.82;2.08;6.66;2.79;0.316047514591228
36;Leg+;Div3;4;14.8760330578513;17.26;2.22;7.59;2.37;0.369941044140847
37;Leg+;Div0;1;7.40740740740741;16.74;2.15;6.83;2.38;0.325845689870842
37;Leg+;Div0;2;6.66666666666665;16;2.09;6.49;2.36;0.317205257154486
37;Leg+;Div0;3;6.89655172413797;16.65;2.05;6.58;2.2;0.326150727937117
37;Leg+;Div0;4;13.0718954248366;17.57;2.44;7.58;2.18;0.357241364663519
38;Leg+;Div1;1;7.14285714285718;19.54;2.1;7.53;2.27;0.371274841192333
38;Leg+;Div1;2;6.16438356164387;18.91;2.04;6.59;2.28;0.340631905687881
38;Leg+;Div1;3;5.99999999999999;17.2;2.11;6.5;2.03;0.346596376831554
