no;div;leg;distance;id_jour;id_loca;id_taxo;DW;LA
13;Div2;Leg+;6;43;RT13_d+6;Tri_alexa;69.1999999999998;462.353
13;Div2;Leg+;9;43;RT13_d+9;Lol_peren;515.5;2839.493
13;Div2;Leg+;12;43;RT13_d+12;Tri_alexa;12.5999999999999;65.743
13;Div2;Leg+;15;43;RT13_d+15;Bra_napus;1691;10184.268
13;Div2;Leg+;18;43;RT13_d+18;Ver_persi;22.9;172.446
13;Div2;Leg+;21;43;RT13_d+21;Tri_alexa;77.4;655.528
14;Div3;Leg+;-15;43;RT14_d-15;Bra_napus;321.7395028;2747.216
14;Div3;Leg+;-12;43;RT14_d-12;Lol_peren;370.7;1516.692
14;Div3;Leg+;-9;43;RT14_d-9;Tri_alexa;158;1299.617
14;Div3;Leg+;-6;43;RT14_d-6;Ver_persi;7.20000000000005;60.847
14;Div3;Leg+;-3;43;RT14_d-3;Tri_alexa;37.5;168.681
14;Div3;Leg+;0;43;RT14_d0;Bra_napus;3953.6;20539.666
14;Div3;Leg+;6;43;RT14_d+6;Tri_alexa;27.3000000000001;172.474
14;Div3;Leg+;9;43;RT14_d+9;Lol_peren;294.1;1404.767
14;Div3;Leg+;12;42;RT14_d+12;Tri_alexa;3.19999999999993;
14;Div3;Leg+;12;43;RT14_d+12;Tri_alexa;17.2;160.392
14;Div3;Leg+;15;43;RT14_d+15;Bra_napus;1743;10732.891
14;Div3;Leg+;18;43;RT14_d+18;Ver_persi;5.20000000000016;61.553
14;Div3;Leg+;24;43;RT14_d+24;Ger_disse;11.2;132.745
15;Div0;Leg+;-24;43;RT15_d-24;Tri_alexa;35.4000000000001;290.953
15;Div0;Leg+;-18;43;RT15_d-18;Tri_alexa;19.8000000000001;83.108
15;Div0;Leg+;-15;43;RT15_d-15;Bra_napus;501.5;3412.545
15;Div0;Leg+;-12;43;RT15_d-12;Lol_peren;70.1000000000001;401.239
15;Div0;Leg+;-9;43;RT15_d-9;Tri_alexa;10.4999999999999;65.976
15;Div0;Leg+;-6;43;RT15_d-6;Ver_persi;62.5000000000001;577.363
15;Div0;Leg+;-3;43;RT15_d-3;Tri_alexa;44.5999999999999;486.527
15;Div0;Leg+;0;43;RT15_d0;Bra_napus;4012.1;22593.986
15;Div0;Leg+;3;43;RT15_d+3;Ger_disse;2.39999999999998;37.661
15;Div0;Leg+;9;43;RT15_d+9;Lol_peren;488.5;2681.252
15;Div0;Leg+;12;43;RT15_d+12;Tri_alexa;92.9;938.626
15;Div0;Leg+;15;43;RT15_d+15;Bra_napus;833.7;9739.769
15;Div0;Leg+;18;43;RT15_d+18;Ver_persi;12.3000000000001;123.552
15;Div0;Leg+;21;43;RT15_d+21;Tri_alexa;210.9;1830.271
16;Div1;Leg+;-24;43;RT16_d-24;Tri_alexa;29.1999999999999;122.752
16;Div1;Leg+;-18;43;RT16_d-18;Tri_alexa;31.5999999999999;242.282
16;Div1;Leg+;-12;43;RT16_d-12;Lol_peren;17.2;146.287
16;Div1;Leg+;-9;43;RT16_d-9;Tri_alexa;;
16;Div1;Leg+;-6;43;RT16_d-6;Ver_persi;4.70000000000005;46.969
16;Div1;Leg+;0;43;RT16_d0;Bra_napus;3955.3;22012.315
16;Div1;Leg+;3;43;RT16_d+3;Ger_disse;7.19999999999993;99.725
16;Div1;Leg+;6;43;RT16_d+6;Tri_alexa;30.0999999999999;286.417
16;Div1;Leg+;9;43;RT16_d+9;Lol_peren;407.7;2069.871
16;Div1;Leg+;12;43;RT16_d+12;Tri_alexa;57.6;601.969
16;Div1;Leg+;15;43;RT16_d+15;Bra_napus;2969.2;15914.892
16;Div1;Leg+;18;43;RT16_d+18;Ver_persi;5.90000000000009;88.067
16;Div1;Leg+;21;43;RT16_d+21;Tri_alexa;14.0000000000002;119.408
16;Div1;Leg+;24;43;RT16_d+24;Ger_disse;3.70000000000005;61.819
17;Div2;Leg+;-24;43;RT17_d-24;Tri_alexa;19.6999999999999;168.837
17;Div2;Leg+;-18;43;RT17_d-18;Tri_alexa;20.8;202.233
17;Div2;Leg+;-15;43;RT17_d-15;Bra_napus;4025.3;24003.817
17;Div2;Leg+;-12;43;RT17_d-12;Lol_peren;218.5;1694.183
17;Div2;Leg+;-9;43;RT17_d-9;Tri_alexa;32.9000000000001;315.321
17;Div2;Leg+;-6;43;RT17_d-6;Ver_persi;8.89999999999986;107.478
17;Div2;Leg+;-3;43;RT17_d-3;Tri_alexa;252.4;2563.128
17;Div2;Leg+;0;43;RT17_d0;Bra_napus;215.5;1737.228
17;Div2;Leg+;3;43;RT17_d+3;Ger_disse;1;
17;Div2;Leg+;6;43;RT17_d+6;Tri_alexa;48.3000000000001;502.502
17;Div2;Leg+;9;43;RT17_d+9;Lol_peren;850.100000000001;5370.625
17;Div2;Leg+;21;43;RT17_d+21;Tri_alexa;117.4;1098
17;Div2;Leg+;24;43;RT17_d+24;Ger_disse;33.9999999999999;335.295
18;Div3;Leg+;-24;43;RT18_d-24;Tri_alexa;31.4;305.513
18;Div3;Leg+;-18;43;RT18_d-18;Tri_alexa;56.3000000000001;531.429
18;Div3;Leg+;-15;43;RT18_d-15;Bra_napus;929.7;6208.668
18;Div3;Leg+;-12;43;RT18_d-12;Lol_peren;108;726.26
18;Div3;Leg+;-6;43;RT18_d-6;Ver_persi;0.999999999999886;14.05
18;Div3;Leg+;-3;43;RT18_d-3;Tri_alexa;15.1000000000001;116.36
18;Div3;Leg+;0;43;RT18_d0;Bra_napus;2811.1;18575.997
18;Div3;Leg+;3;43;RT18_d+3;Ger_disse;9.20000000000005;118.97
18;Div3;Leg+;6;43;RT18_d+6;Tri_alexa;63.4000000000002;711.619
18;Div3;Leg+;9;43;RT18_d+9;Lol_peren;343.5;1934.401
18;Div3;Leg+;12;43;RT18_d+12;Tri_alexa;18.8000000000002;140.453
18;Div3;Leg+;15;43;RT18_d+15;Bra_napus;1268.70518388;7040.36
18;Div3;Leg+;21;43;RT18_d+21;Tri_alexa;25.6235618999999;275.902
18;Div3;Leg+;24;43;RT18_d+24;Ger_disse;1.70000000000005;38.216
19;Div0;Leg+;-24;43;RT19_d-24;Tri_alexa;7.89999999999998;
19;Div0;Leg+;-24;44;RT19_d-24;Tri_alexa;6.5;
19;Div0;Leg+;-21;44;RT19_d-21;Ger_disse;4.59999999999991;90.265
19;Div0;Leg+;-18;44;RT19_d-18;Tri_alexa;57.1000000000001;356.767
19;Div0;Leg+;-15;44;RT19_d-15;Bra_napus;1667.5;10129.585
19;Div0;Leg+;-12;44;RT19_d-12;Lol_peren;79.9000000000001;246.998
19;Div0;Leg+;-9;43;RT19_d-9;Tri_alexa;3.79999999999995;
19;Div0;Leg+;-9;44;RT19_d-9;Tri_alexa;14.4000000000003;142.117
19;Div0;Leg+;-6;43;RT19_d-6;Ver_persi;2.09999999999991;
19;Div0;Leg+;-6;44;RT19_d-6;Ver_persi;1.60000000000002;29.512
19;Div0;Leg+;-3;43;RT19_d-3;Tri_alexa;1.69999999999993;
19;Div0;Leg+;-3;44;RT19_d-3;Tri_alexa;30.8999999999999;215.414
19;Div0;Leg+;0;44;RT19_d0;Bra_napus;2166.5;14329.905
19;Div0;Leg+;3;43;RT19_d+3;Ger_disse;3.39999999999998;
19;Div0;Leg+;3;44;RT19_d+3;Ger_disse;1.60000000000002;70.443
19;Div0;Leg+;6;43;RT19_d+6;Tri_alexa;6.30000000000007;
19;Div0;Leg+;6;44;RT19_d+6;Tri_alexa;10;113.99
19;Div0;Leg+;9;43;RT19_d+9;Lol_peren;79.8000000000001;
19;Div0;Leg+;9;44;RT19_d+9;Lol_peren;130.5;1072.627
19;Div0;Leg+;12;43;RT19_d+12;Tri_alexa;4.79999999999995;
19;Div0;Leg+;12;44;RT19_d+12;Tri_alexa;20;208.582
19;Div0;Leg+;15;43;RT19_d+15;Bra_napus;409.4;
19;Div0;Leg+;15;44;RT19_d+15;Bra_napus;1947.4;12890.225
19;Div0;Leg+;18;43;RT19_d+18;Ver_persi;1.60000000000002;
19;Div0;Leg+;18;44;RT19_d+18;Ver_persi;0.300000000000182;22.358
