RT;leg;div;id_taxo;distance;id_loca;org;N
17;Leg+;Div2;Bra_napus;-15;RT17_d-15;Fine roots;2.3165
17;Leg+;Div2;Bra_napus;-15;RT17_d-15;Leaf3;2.3925
17;Leg+;Div2;Bra_napus;-15;RT17_d-15;Other leaves;2.6226
17;Leg+;Div2;Bra_napus;-15;RT17_d-15;Stem;2.5064
17;Leg+;Div2;Bra_napus;-15;RT17_d-15;Taproot;1.8851
18;Leg+;Div3;Bra_napus;-15;RT18_d-15;Fine roots;2.113
18;Leg+;Div3;Bra_napus;-15;RT18_d-15;Leaf3;2.2024
18;Leg+;Div3;Bra_napus;-15;RT18_d-15;Other leaves;3.0849
18;Leg+;Div3;Bra_napus;-15;RT18_d-15;Stem;2.0516
18;Leg+;Div3;Bra_napus;-15;RT18_d-15;Taproot;1.946
19;Leg+;Div0;Bra_napus;-15;RT19_d-15;Fine roots;2.1573
19;Leg+;Div0;Bra_napus;-15;RT19_d-15;Leaf3;1.1938
19;Leg+;Div0;Bra_napus;-15;RT19_d-15;Other leaves;1.92265
19;Leg+;Div0;Bra_napus;-15;RT19_d-15;Stem;1.7288
19;Leg+;Div0;Bra_napus;-15;RT19_d-15;Taproot;1.9974
20;Leg+;Div1;Bra_napus;-15;RT20_d-15;Fine roots;2.2139
20;Leg+;Div1;Bra_napus;-15;RT20_d-15;Leaf3;2.1534
20;Leg+;Div1;Bra_napus;-15;RT20_d-15;Other leaves;2.4718
20;Leg+;Div1;Bra_napus;-15;RT20_d-15;Stem;2.4225
20;Leg+;Div1;Bra_napus;-15;RT20_d-15;Taproot;2.0285
21;Leg-;Div2;Bra_napus;-15;RT21_d-15;Fine roots;1.8605
21;Leg-;Div2;Bra_napus;-15;RT21_d-15;Limb;1.6001
21;Leg-;Div2;Bra_napus;-15;RT21_d-15;Other leaves;2.3426
21;Leg-;Div2;Bra_napus;-15;RT21_d-15;Stem;2.0542
21;Leg-;Div2;Bra_napus;-15;RT21_d-15;Taproot;1.90465
22;Leg-;Div3;Bra_napus;-15;RT22_d-15;Fine roots;2.0769
22;Leg-;Div3;Bra_napus;-15;RT22_d-15;Limb;3.4895
22;Leg-;Div3;Bra_napus;-15;RT22_d-15;Other leaves;3.42055
22;Leg-;Div3;Bra_napus;-15;RT22_d-15;Stem;2.3026
22;Leg-;Div3;Bra_napus;-15;RT22_d-15;Taproot;2.998
23;Leg-;Div0;Bra_napus;-15;RT23_d-15;Fine roots;12.5259
23;Leg-;Div0;Bra_napus;-15;RT23_d-15;Limb;0.8675
23;Leg-;Div0;Bra_napus;-15;RT23_d-15;Other leaves;1.0059
24;Leg-;Div1;Bra_napus;-15;RT24_d-15;Fine roots;2.3207
24;Leg-;Div1;Bra_napus;-15;RT24_d-15;Limb;2.2198
24;Leg-;Div1;Bra_napus;-15;RT24_d-15;Other leaves;2.9393
24;Leg-;Div1;Bra_napus;-15;RT24_d-15;Stem;2.25
24;Leg-;Div1;Bra_napus;-15;RT24_d-15;Taproot;2.1452
25;Leg-;Div2;Bra_napus;-15;RT25_d-15;Fine roots;2.5432
25;Leg-;Div2;Bra_napus;-15;RT25_d-15;Limb;2.7648
25;Leg-;Div2;Bra_napus;-15;RT25_d-15;Other leaves;3.6756
25;Leg-;Div2;Bra_napus;-15;RT25_d-15;Stem;3.0231
25;Leg-;Div2;Bra_napus;-15;RT25_d-15;Taproot;2.4934
26;Leg-;Div3;Bra_napus;-15;RT26_d-15;Fine roots;2.05985
26;Leg-;Div3;Bra_napus;-15;RT26_d-15;Limb;1.5871
26;Leg-;Div3;Bra_napus;-15;RT26_d-15;Other leaves;1.4821
26;Leg-;Div3;Bra_napus;-15;RT26_d-15;Stem;2.0689
26;Leg-;Div3;Bra_napus;-15;RT26_d-15;Taproot;2.1648
27;Leg-;Div0;Bra_napus;-15;RT27_d-15;Fine roots;2.1047
27;Leg-;Div0;Bra_napus;-15;RT27_d-15;Limb;2.702
27;Leg-;Div0;Bra_napus;-15;RT27_d-15;Other leaves;2.5889
27;Leg-;Div0;Bra_napus;-15;RT27_d-15;Stem;2.9769
27;Leg-;Div0;Bra_napus;-15;RT27_d-15;Taproot;2.0086
28;Leg-;Div1;Bra_napus;-15;RT28_d-15;Fine roots;2.1276
28;Leg-;Div1;Bra_napus;-15;RT28_d-15;Limb;3.069
28;Leg-;Div1;Bra_napus;-15;RT28_d-15;Other leaves;3.5068
28;Leg-;Div1;Bra_napus;-15;RT28_d-15;Stem;3.1172
28;Leg-;Div1;Bra_napus;-15;RT28_d-15;Taproot;2.4349
29;Leg-;Div2;Bra_napus;-15;RT29_d-15;Fine roots;2.066
29;Leg-;Div2;Bra_napus;-15;RT29_d-15;Limb;2.3937
29;Leg-;Div2;Bra_napus;-15;RT29_d-15;Other leaves;2.7319
29;Leg-;Div2;Bra_napus;-15;RT29_d-15;Stem;2.5247
29;Leg-;Div2;Bra_napus;-15;RT29_d-15;Taproot;2.2558
30;Leg-;Div3;Bra_napus;-15;RT30_d-15;Fine roots;2.4406
30;Leg-;Div3;Bra_napus;-15;RT30_d-15;Limb;3.69
30;Leg-;Div3;Bra_napus;-15;RT30_d-15;Other leaves;3.4158
30;Leg-;Div3;Bra_napus;-15;RT30_d-15;Stem;3.388
30;Leg-;Div3;Bra_napus;-15;RT30_d-15;Taproot;2.4959
31;Leg+;Div2;Bra_napus;-15;RT31_d-15;Fine roots;2.2046
31;Leg+;Div2;Bra_napus;-15;RT31_d-15;Limb;2.1336
31;Leg+;Div2;Bra_napus;-15;RT31_d-15;Other leaves;3.2996
31;Leg+;Div2;Bra_napus;-15;RT31_d-15;Stem;2.7859
31;Leg+;Div2;Bra_napus;-15;RT31_d-15;Taproot;2.3817
32;Leg+;Div3;Bra_napus;-15;RT32_d-15;Fine roots;2.0692
32;Leg+;Div3;Bra_napus;-15;RT32_d-15;Limb;2.5063
32;Leg+;Div3;Bra_napus;-15;RT32_d-15;Other leaves;3.2211
32;Leg+;Div3;Bra_napus;-15;RT32_d-15;Stem;2.9236
32;Leg+;Div3;Bra_napus;-15;RT32_d-15;Taproot;2.2556
33;Leg+;Div0;Bra_napus;-15;RT33_d-15;Fine roots;2.2304
33;Leg+;Div0;Bra_napus;-15;RT33_d-15;Limb;2.8195
33;Leg+;Div0;Bra_napus;-15;RT33_d-15;Other leaves;2.9
33;Leg+;Div0;Bra_napus;-15;RT33_d-15;Stem;2.7485
33;Leg+;Div0;Bra_napus;-15;RT33_d-15;Taproot;2.2823
34;Leg+;Div1;Bra_napus;-15;RT34_d-15;Fine roots;2.2868
34;Leg+;Div1;Bra_napus;-15;RT34_d-15;Limb;2.5946
34;Leg+;Div1;Bra_napus;-15;RT34_d-15;Other leaves;3.7651
34;Leg+;Div1;Bra_napus;-15;RT34_d-15;Stem;3.5501
34;Leg+;Div1;Bra_napus;-15;RT34_d-15;Taproot;2.5853
35;Leg+;Div2;Bra_napus;-15;RT35_d-15;Fine roots;2.0844
35;Leg+;Div2;Bra_napus;-15;RT35_d-15;Limb;2.0495
35;Leg+;Div2;Bra_napus;-15;RT35_d-15;Other leaves;3.159
35;Leg+;Div2;Bra_napus;-15;RT35_d-15;Stem;2.207
35;Leg+;Div2;Bra_napus;-15;RT35_d-15;Taproot;2.5601
36;Leg+;Div3;Bra_napus;-15;RT36_d-15;Fine roots;2.3798
36;Leg+;Div3;Bra_napus;-15;RT36_d-15;Limb;2.8454
36;Leg+;Div3;Bra_napus;-15;RT36_d-15;Other leaves;3.6186
36;Leg+;Div3;Bra_napus;-15;RT36_d-15;Stem;2.6492
36;Leg+;Div3;Bra_napus;-15;RT36_d-15;Taproot;2.3882
37;Leg+;Div0;Bra_napus;-15;RT37_d-15;Fine roots;2.17575
37;Leg+;Div0;Bra_napus;-15;RT37_d-15;Limb;1.3115
37;Leg+;Div0;Bra_napus;-15;RT37_d-15;Other leaves;1.3478
37;Leg+;Div0;Bra_napus;-15;RT37_d-15;Stem;1.4649
37;Leg+;Div0;Bra_napus;-15;RT37_d-15;Taproot;2.0623
38;Leg+;Div1;Bra_napus;-15;RT38_d-15;Fine roots;2.1726
38;Leg+;Div1;Bra_napus;-15;RT38_d-15;Limb;1.5253
38;Leg+;Div1;Bra_napus;-15;RT38_d-15;Other leaves;1.9917
38;Leg+;Div1;Bra_napus;-15;RT38_d-15;Stem;1.7997
38;Leg+;Div1;Bra_napus;-15;RT38_d-15;Taproot;2.024
39;Leg+;Div2;Bra_napus;-15;RT39_d-15;Fine roots;2.1732
39;Leg+;Div2;Bra_napus;-15;RT39_d-15;Limb;2.6789
39;Leg+;Div2;Bra_napus;-15;RT39_d-15;Other leaves;3.2964
39;Leg+;Div2;Bra_napus;-15;RT39_d-15;Stem;2.5998
39;Leg+;Div2;Bra_napus;-15;RT39_d-15;Taproot;2.5603
40;Leg+;Div3;Bra_napus;-15;RT40_d-15;Fine roots;1.7984
40;Leg+;Div3;Bra_napus;-15;RT40_d-15;Limb;3.4002
40;Leg+;Div3;Bra_napus;-15;RT40_d-15;Other leaves;3.8564
40;Leg+;Div3;Bra_napus;-15;RT40_d-15;Stem;2.2132
40;Leg+;Div3;Bra_napus;-15;RT40_d-15;Taproot;2.5039
41;Leg-;Div1;Bra_napus;-15;RT41_d-15;Fine roots;2.2301
41;Leg-;Div1;Bra_napus;-15;RT41_d-15;Limb;2.621
