Nom;Code analyse N;id_taxo;distance;org;RT;leg;div;Pcont;Ncont;DM
2262B;2262_B_R BN;Bra_napus;-15;Taproot;27;Leg-;Div0;2.35190990477218;2.0086;101.5
2268B;2268_B_R BN;Bra_napus;-15;Taproot;30;Leg-;Div3;1.82234924395084;2.4959;209.7
2274B;2274_B_R BN;Bra_napus;-15;Taproot;33;Leg+;Div0;2.26459185651217;2.2823;111.8
2285B;2285_B_R BN;Bra_napus;-15;Taproot;39;Leg+;Div2;2.44781807792208;2.5603;154.1
211B;211_B_R BN;Bra_napus;-15;Taproot;42;Leg+;Div2;2.45204261606657;2.8427;142.5
2302B;2302_B_R BN;Bra_napus;-15;Taproot;6;Leg-;Div1;2.02456653566874;1.9297;197.4
2306B;2306_B_R BN;Bra_napus;-15;Taproot;9;Leg-;Div0;2.39692467532467;2.4154;186.7
2008B;2008_B_R LP;Lol_peren;-12;Fine roots;1;Leg-;Div0;1.21005266622778;1.1991;35.2
1991B;1991_B_R LP;Lol_peren;-12;Fine roots;5;Leg-;Div0;1.41040205303678;0.9045;188.8
2014B;2014_B_R LP;Lol_peren;-12;Fine roots;9;Leg-;Div0;1.12766953528399;0.9004;151
2033B;2033_B_R LP;Lol_peren;-12;Fine roots;15;Leg+;Div0;1.19515804949767;1.058;35.1
2085B;2085_B_R LP;Lol_peren;-12;Fine roots;22;Leg-;Div3;1.34299287140006;0.6752;151.6
2096B;2096_B_R LP;Lol_peren;-12;Fine roots;25;Leg-;Div2;1.00592070531095;1.0089;57.6
2163B;2163_B_R LP;Lol_peren;-12;Fine roots;31;Leg+;Div2;1.23095440288255;0.8068;79.4
2130B;2130_B_R LP;Lol_peren;-12;Fine roots;34;Leg+;Div1;1.09016755793226;0.8152;59.9
2139B;2139_B_R LP;Lol_peren;-12;Fine roots;37;Leg+;Div0;2.8921;1.2378;128.4
2287B;2287_B_R BN;Bra_napus;-15;Taproot;40;Leg+;Div3;2.40748739036515;2.5039;227.6
2293B;2293_B_R BN;Bra_napus;-15;Taproot;1;Leg-;Div0;2.43342171428571;1.9229;205
2303B;2303_B_R BN;Bra_napus;-15;Taproot;7;Leg-;Div2;1.9948252229698;1.5804;75.7
