RT;div;leg;distance;id_jour;id_loca;id_taxo;RLMax
11;Div0;Leg+;9;42;RT11_d+9;Lol_peren;45.3
11;Div0;Leg+;12;42;RT11_d+12;Tri_alexa;32
11;Div0;Leg+;15;42;RT11_d+15;Bra_napus;85.5
11;Div0;Leg+;18;42;RT11_d+18;Ver_persi;4
11;Div0;Leg+;21;42;RT11_d+21;Tri_alexa;79.2
12;Div1;Leg+;-24;42;RT12_d-24;Tri_alexa;25
12;Div1;Leg+;-21;42;RT12_d-21;Ger_disse;3
12;Div1;Leg+;-18;42;RT12_d-18;Tri_alexa;19.2
12;Div1;Leg+;-15;42;RT12_d-15;Bra_napus;50
12;Div1;Leg+;-12;42;RT12_d-12;Lol_peren;19
12;Div1;Leg+;-6;42;RT12_d-6;Ver_persi;11
12;Div1;Leg+;-3;42;RT12_d-3;Tri_alexa;27.2
12;Div1;Leg+;0;42;RT12_d0;Bra_napus;92.1
12;Div1;Leg+;9;42;RT12_d+9;Lol_peren;65
12;Div1;Leg+;12;42;RT12_d+12;Tri_alexa;20.5
12;Div1;Leg+;15;42;RT12_d+15;Bra_napus;46.9
12;Div1;Leg+;18;42;RT12_d+18;Ver_persi;5.5
13;Div2;Leg+;-24;43;RT13_d-24;Tri_alexa;23.7
13;Div2;Leg+;-21;43;RT13_d-21;Ger_disse;2.5
13;Div2;Leg+;-18;43;RT13_d-18;Tri_alexa;16.6
13;Div2;Leg+;-15;43;RT13_d-15;Bra_napus;80.3
13;Div2;Leg+;-12;43;RT13_d-12;Lol_peren;16.3
13;Div2;Leg+;-9;43;RT13_d-9;Tri_alexa;14.8
13;Div2;Leg+;-3;43;RT13_d-3;Tri_alexa;52
13;Div2;Leg+;0;43;RT13_d0;Bra_napus;84
13;Div2;Leg+;6;43;RT13_d+6;Tri_alexa;35
13;Div2;Leg+;9;43;RT13_d+9;Lol_peren;56.3
13;Div2;Leg+;12;43;RT13_d+12;Tri_alexa;13.2
13;Div2;Leg+;15;43;RT13_d+15;Bra_napus;52.2
13;Div2;Leg+;18;43;RT13_d+18;Ver_persi;8.4
13;Div2;Leg+;21;43;RT13_d+21;Tri_alexa;30.5
14;Div3;Leg+;-15;43;RT14_d-15;Bra_napus;72
14;Div3;Leg+;-12;43;RT14_d-12;Lol_peren;49.5
14;Div3;Leg+;-9;43;RT14_d-9;Tri_alexa;79.3
14;Div3;Leg+;-6;43;RT14_d-6;Ver_persi;8.5
14;Div3;Leg+;-3;43;RT14_d-3;Tri_alexa;27.6
14;Div3;Leg+;0;43;RT14_d0;Bra_napus;92.5
14;Div3;Leg+;6;43;RT14_d+6;Tri_alexa;27.6
14;Div3;Leg+;9;43;RT14_d+9;Lol_peren;35.3
14;Div3;Leg+;12;43;RT14_d+12;Tri_alexa;12.2
14;Div3;Leg+;15;43;RT14_d+15;Bra_napus;81.5
14;Div3;Leg+;18;43;RT14_d+18;Ver_persi;8.2
14;Div3;Leg+;24;43;RT14_d+24;Ger_disse;14.7
15;Div0;Leg+;-24;43;RT15_d-24;Tri_alexa;10.1
15;Div0;Leg+;-18;43;RT15_d-18;Tri_alexa;10.6
15;Div0;Leg+;-15;43;RT15_d-15;Bra_napus;20.3
15;Div0;Leg+;-12;43;RT15_d-12;Lol_peren;25.9
15;Div0;Leg+;-9;43;RT15_d-9;Tri_alexa;27.9
15;Div0;Leg+;-6;43;RT15_d-6;Ver_persi;22.8
15;Div0;Leg+;-3;43;RT15_d-3;Tri_alexa;39.8
15;Div0;Leg+;0;43;RT15_d0;Bra_napus;94.1
15;Div0;Leg+;3;43;RT15_d+3;Ger_disse;4.1
15;Div0;Leg+;9;43;RT15_d+9;Lol_peren;48.6
15;Div0;Leg+;12;43;RT15_d+12;Tri_alexa;65.4
15;Div0;Leg+;15;43;RT15_d+15;Bra_napus;85.5
15;Div0;Leg+;18;43;RT15_d+18;Ver_persi;23.5
15;Div0;Leg+;21;43;RT15_d+21;Tri_alexa;74.6
16;Div1;Leg+;-24;43;RT16_d-24;Tri_alexa;27
16;Div1;Leg+;-18;43;RT16_d-18;Tri_alexa;15
16;Div1;Leg+;-12;43;RT16_d-12;Lol_peren;16.4
16;Div1;Leg+;-6;43;RT16_d-6;Ver_persi;12.2
16;Div1;Leg+;0;43;RT16_d0;Bra_napus;100.2
16;Div1;Leg+;3;43;RT16_d+3;Ger_disse;13.2
16;Div1;Leg+;6;43;RT16_d+6;Tri_alexa;27.5
16;Div1;Leg+;9;43;RT16_d+9;Lol_peren;73.6
16;Div1;Leg+;12;43;RT16_d+12;Tri_alexa;34
16;Div1;Leg+;15;43;RT16_d+15;Bra_napus;74.5
16;Div1;Leg+;18;43;RT16_d+18;Ver_persi;3
16;Div1;Leg+;21;43;RT16_d+21;Tri_alexa;10.3
16;Div1;Leg+;24;43;RT16_d+24;Ger_disse;3
